"uzemi_txt","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","pocet_bodovanych_ridicu","celkovy_pocet_ridicu","pohlavi_txt","uzemi_typ","stav_k_datu"
"Hlavní město Praha",2574,11931,2356,14225,829,5126,1752,1265,393,633,389,3676,45149,913409,"celkem","kraj","2025_03"
"Blatná",15,139,22,110,6,54,20,9,1,9,0,54,439,10501,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"České Budějovice",400,2473,332,1915,116,770,217,160,54,72,55,491,7055,113415,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Český Krumlov",47,448,114,360,22,190,64,28,12,14,15,219,1533,27180,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Dačice",25,120,43,147,9,60,38,6,6,2,2,54,512,12685,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Jindřichův Hradec",103,741,107,388,46,181,80,30,17,19,16,222,1950,32971,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Kaplice",31,145,59,188,18,82,44,8,5,9,7,116,712,13071,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Milevsko",21,203,40,191,11,59,19,9,2,5,8,54,622,12657,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Písek",109,756,117,537,41,242,71,44,20,15,16,158,2126,35667,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Prachatice",52,367,76,318,22,144,57,27,10,14,18,160,1265,22928,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Soběslav",46,285,45,256,15,103,29,14,12,14,5,69,893,14994,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Strakonice",97,469,114,359,26,141,55,35,12,15,13,155,1491,30609,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Tábor",75,944,155,874,28,251,117,60,20,38,25,225,2812,54461,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Trhové Sviny",27,261,46,184,9,61,27,11,5,11,5,85,732,13387,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Třeboň",38,447,84,283,29,111,38,29,11,16,9,99,1194,16920,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Týn nad Vltavou",25,214,30,142,6,55,16,15,3,9,6,71,592,9610,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Vimperk",42,157,37,180,11,65,36,12,3,8,6,77,634,11898,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Vodňany",18,138,29,119,7,67,18,13,2,9,4,37,461,8045,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Jihočeský kraj",1171,8307,1450,6551,422,2636,946,510,195,279,210,2346,25023,440999,"celkem","kraj","2025_03"
"Blansko",82,476,103,466,31,158,78,22,14,17,20,117,1584,36663,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Boskovice",67,638,102,488,28,193,72,50,14,22,13,134,1821,33879,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Brno",838,3552,673,4192,228,1666,538,354,111,180,125,1131,13588,238446,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Břeclav",87,857,151,1303,43,340,107,74,16,31,19,177,3205,39333,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Bučovice",32,175,32,195,15,63,24,21,3,13,6,41,620,10680,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Hodonín",77,696,119,555,29,248,82,49,13,27,21,197,2113,39618,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Hustopeče",38,500,65,675,23,180,52,48,13,24,8,110,1736,24121,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Ivančice",24,189,38,210,9,81,40,18,6,10,11,80,716,16254,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Kuřim",46,177,44,219,9,66,26,14,5,7,8,62,683,15073,"celkem","správní obvod obce s rozšířenou působností","2025_03"
